A#7,15,14,17,14,13,5,18,1,16,14,9,19,9,9,19,14,17,13,12
C#92,97,84,93,94,86,81,97,84,85,93,93,98,90,82,96,80,80,93,81
A#14,6,13,14,19,3,11,7,19,18,17,17,3,5,11,15,19,5,9,3
B#49,50,51,49,50,54,48,52,56,40,54,51,48,43,46,52,53,49,55,45
C#90,96,94,98,80,83,81,88,94,95,85,83,86,97,84,99,81,88,86,98
B#58,49,50,51,51,58,50,49,50,44,48,54,48,50,44,53,57,49,45,58
B#46,52,57,47,48,48,56,51,51,45,41,50,48,57,56,51,41,59,58,53
C#91,89,86,98,99,90,89,87,80,93,96,92,92,94,90,89,99,86,88,83
B#44,41,41,53,50,54,45,45,44,46,59,54,51,43,48,53,42,52,56,46
A#19,12,7,1,9,6,17,3,0,1,10,7,9,9,19,6,16,17,11,16
C#86,83,88,90,88,89,88,83,81,85,81,83,99,89,98,94,90,96,97,83
B#53,46,54,59,51,54,52,56,47,52,45,47,57,57,56,46,45,58,59,54
A#3,13,4,9,14,0,7,6,16,0,5,7,1,2,6,6,14,8,0,18
B#57,50,42,55,55,54,55,57,51,51,56,46,40,48,52,40,59,58,45,45
C#85,95,97,96,93,86,98,97,92,87,92,84,86,97,83,81,98,94,92,87
C#88,96,99,99,98,88,97,88,83,83,90,92,97,99,86,94,91,84,91,87
A#9,18,6,15,0,0,3,16,14,6,5,8,9,4,6,0,2,5,5,19
B#40,50,45,50,59,41,42,55,43,40,55,50,47,52,50,54,42,53,56,50
